FID,IID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
GB,BT26,-0.0916619,-0.0792027,-0.00140319,-0.00679895,0.000590846,0.0150231,-0.00475332,0.011861,-0.0184267,0.0338241
MD,BT266,-0.0159488,0.0410204,0.0660778,0.0405284,0.0151022,-0.155336,0.0354857,0.0323345,-0.0777513,-0.162202
MD,BT267,-0.00930553,0.0516992,0.0833444,0.0359754,0.0118805,-0.246852,0.0639789,0.0927156,-0.0230993,-0.157097
MD,BT268,-0.0533295,0.160666,0.0226668,0.152921,-0.0532939,0.0388313,-0.0168806,-0.485873,0.0438887,-0.0263562
MD,BT269,-0.0245441,0.0712399,0.0123792,-0.00762627,0.0104391,-0.0708189,0.136845,0.0143163,-0.156085,0.288122
GB,BT27,-0.0857051,-0.0805671,-0.00877796,-0.0119021,-0.0125759,0.0238048,-0.00996484,0.00459418,0.00758048,0.0367222
SC,BT270,-0.048568,0.180832,-0.139204,-0.333823,-0.0150221,0.0260105,-0.020484,-0.02052,0.0136957,-0.0300214
SC,BT271,-0.0530467,0.212482,-0.165772,-0.388412,-0.0188702,0.030595,-0.0338469,-0.00240166,0.023707,-0.0306591
SC,BT272,-0.0585692,0.199096,-0.153898,-0.368349,-0.0158217,0.0215048,-0.0249792,-0.0161651,0.0200268,-0.0257838
SC,BT273,-0.0506758,0.186059,-0.152372,-0.334956,-0.0149797,0.0216078,-0.0358989,-0.00621987,0.010685,-0.0318469
SC,BT274,-0.0394893,0.184277,-0.149735,-0.317874,-0.0216328,0.0217612,-0.0268292,0.0043706,0.0242339,-0.0191845
AW,BT275,-0.0241158,0.059843,0.0176868,0.0272564,-0.00617243,-0.0195055,0.00338644,-0.012195,-0.00677355,-0.00560225
AW,BT276,0.00422762,0.0553802,0.0754692,-0.0108265,-0.065259,-0.0414981,0.0059335,-0.0109488,0.0769836,0.0589896
AW,BT277,-0.0380236,0.0729006,-0.00864019,0.015683,-0.000279889,-0.0400867,0.0330071,-0.0714425,-0.0585338,0.00509687
AW,BT279,-0.0312925,0.055902,-0.0159814,-0.00336192,-0.0123823,-0.0246149,0.0262218,0.00329936,-0.0197719,0.0314756
GB,BT28,-0.0945687,-0.088264,-0.0137261,-0.0117124,-0.00563138,0.0199966,-0.0144444,0.011747,0.0163133,0.0351031
FD,BT281,-0.0493464,0.182138,-0.0276531,0.155591,0.0148994,0.156006,-0.0418779,0.16527,0.047618,-0.0296381
FD,BT282,-0.0313158,0.0826758,0.000674606,0.0273486,0.00957926,-0.00349627,0.0321175,0.0595403,-0.0605388,0.0215323
FD,BT283,0.00274036,0.0556971,0.0676636,0.0172886,0.00974099,-0.189223,0.0974752,0.101425,0.0253955,0.0477337
FD,BT284,-0.058243,0.199444,-0.0314262,0.15935,0.0148934,0.183615,-0.0638388,0.194052,0.0333108,-0.0293727
FD,BT285,-0.0251779,0.0591313,0.0185498,0.0398617,-0.00145822,-0.0178045,0.0218905,0.000879971,-0.0400614,-0.0270324
FD,BT286,-0.0587582,0.228521,-0.0401619,0.184991,0.00373465,0.212134,-0.0721616,0.245788,0.0324374,0.00892555
FD,BT288,-0.0513092,0.0670646,0.0176017,0.0100691,0.0133884,-0.0683255,0.0590429,-0.0212365,-0.0508602,0.0109525
FD,BT289,-0.0420701,0.124934,-0.0133941,0.0544763,0.00928787,0.0434531,0.00907035,0.108173,-0.0504979,0.015842
FD,BT290,-0.0439302,0.115048,0.00772735,0.0585878,-0.0386744,-0.030679,0.0180508,-0.261535,-0.010063,-0.000510371
FD,BT291,-0.0472403,0.121423,0.0189344,0.128568,-0.0379843,0.0227169,-0.010913,-0.424202,0.0336579,-0.0283273
FD,BT293,-0.035941,0.0644903,0.029753,0.0171002,0.0235607,-0.162648,0.0804148,0.0360178,-0.0134398,-0.0405238
FD,BT295,-0.0233817,0.0757379,0.0778615,0.0373641,-0.00417841,-0.306072,0.100249,0.114588,0.0199701,-0.0617572
FD,BT296,-0.0379283,0.0369578,0.01851,0.02627,-0.00377746,-0.0413595,0.00436376,-0.0443227,-0.0281449,-0.00993211
FD,BT297,-0.0292647,0.0527444,0.00825695,-0.00862202,-0.010017,-0.0542895,0.0270079,-0.00490006,-0.0459852,0.0250231
FD,BT299,-0.0599433,0.233414,-0.0233794,0.211784,0.00757414,0.217158,-0.0798499,0.160316,0.0518393,-0.0021419
GB,BT30,-0.0742024,-0.0670274,0.0105408,-0.00305679,0.00881781,0.0120258,0.0126601,0.00662461,0.0157299,-0.0191007
FD,BT301,-0.0305345,0.0760989,0.0258971,0.0178135,0.0256149,-0.138074,0.0630457,0.0325373,-0.0267407,-0.0299585
FD,BT303,-0.0528569,0.158037,0.0158877,0.147131,-0.054633,0.0345872,-0.0148086,-0.456036,0.039092,-0.031707
FD,BT305,-0.0592404,0.225221,-0.0281465,0.208755,0.00210325,0.213705,-0.0811015,0.19902,0.0333115,0.000503402
FD,BT307,-0.0482837,0.159397,-0.00191688,0.155675,0.00279606,0.116493,-0.0258666,-0.00446131,0.0230942,0.0214645
FD,BT309,-0.0608538,0.0701854,0.0129411,0.0218839,-0.00220414,-0.114889,0.0554585,-0.0557224,-0.059586,0.0189283
GB,BT31,-0.114163,-0.108434,-0.0103314,-0.0104458,-0.0206826,0.0300375,-0.0221075,0.00906343,0.00695113,0.0522525
FD,BT315,0.0297035,0.0356942,-0.00319194,-0.00726414,0.00454017,-0.0137668,0.20005,0.0262514,-0.135223,0.266422
FD,BT316,-0.0175895,0.0843689,-0.000555827,-0.00617245,0.00822098,-0.0808291,0.155309,0.0333079,-0.163199,0.327635
